stack,env,region,path,backend_state_key,description
paths,multi,multi,paths.csv,n/a,"Mapping จาก path ที่อ้างถึงในไฟล์ artifacts-infra/* (เช่น kubeflow/prd/terraform, deploy/base) ไปยัง absolute path บนดิสก์ — ดูในไฟล์ paths.csv (อ่านก่อนเพื่อรู้ว่า source อยู่ที่ไหน)"
prd,prd,ap-southeast-1,kubeflow/prd/terraform,prd/terraform.tfstate,"Production stack หลัก — orchestrate modules 01-13 ครอบคลุม VPC, EKS, MT5 cluster, ClickHouse, RDS Aurora (6 clusters), MSK Kafka, observability, secrets, SES; state เก็บใน S3 bucket aeternix-crm-tfstate-prd พร้อม DynamoDB lock"
eu-west-2,prd,eu-west-2,kubeflow/eu-west-2/terraform,eu-west-2/test-postgres.tfstate,"Standalone stack สำหรับ MT5 Test PostgreSQL ที่ London — VPC แยกต่างหาก (10.1.0.0/16) + RDS Postgres 16.13 (db.r7g.xlarge) เปิด port 5432 ให้ allowed_cidr_blocks; ใช้ทดสอบ MT5 trade orders 120M records จาก source 35.187.226.36"
deploy-base,multi,multi,deploy/base,n/a,"Kustomize base manifests สำหรับ K8s workloads: be (backend), fe (frontend), ingress, pgbouncer, android, ios — ใช้ร่วมกับ overlays/{dev,sit,uat}"
deploy-overlays,dev/sit/uat,multi,deploy/overlays,n/a,"Kustomize overlays per environment (dev/sit/uat) — patch base manifests ตาม env"
deploy-sonarqube,multi,multi,deploy/sonarqube,n/a,"SonarQube install manifests (kustomization.yml + install.yaml)"
kubeflow-manifests,dev/sit/uat/prd,multi,kubeflow/{env}/{be|fe|k9s|monitoring|eks|scripts},n/a,"K8s manifests จัดตาม env; prd มี eks/{archiver,finance-service,infisical,kafka-streams,monitoring}, monitoring/, scripts/ เพิ่มเติม นอกเหนือจาก be/fe/k9s ที่ env อื่นมี"
ci-jenkins,multi,n/a,Jenkinsfile + Jenkinsfile.prd,n/a,"Jenkins pipelines (CI/CD) — Jenkinsfile (default) และ Jenkinsfile.prd (production-grade) — รายละเอียดใน jenkins.csv"
ci-github-actions,multi,n/a,.github/workflows,n/a,"GitHub Actions workflow — trigger-jenkins-pipeline.yml ใช้ trigger Jenkins job"
k8s-workloads,prd,ap-southeast-1,kubeflow/prd,n/a,"prd-only K8s workloads (Deployment/StatefulSet/Job) จาก kubeflow/prd/{be,fe,eks,eks/archiver,eks/finance-service,eks/kafka-streams} — รายละเอียด image, resources, replicas, scaler, env, probes ใน k8s-workloads.csv"
kafka-topics,prd,ap-southeast-1,kubeflow/prd/eks/kafka-streams,n/a,"Kafka topic catalog (2 cluster: crmprdkafka สำหรับ mt5/deal/ib/debezium-* และ crm-prd-kafka-stream สำหรับ stream.* + mt5.*.received) — partitions, retention, purpose ใน kafka-topics.csv"
kafka-consumers,prd,ap-southeast-1,kubeflow/prd/eks/kafka-streams,n/a,"Kafka consumer/producer mapping ต่อ workload — consumer_group, topics_in, topics_out — ใช้ verify ว่า devops deploy K8s ตรงกับ Go/Python service ที่ backend เขียนไว้ (kafka-consumers.csv)"
module-05-storage,prd,ap-southeast-1,kubeflow/prd/terraform/modules/05-storage,n/a,"Per-resource breakdown ของ module 05-storage — S3 buckets (archive + observability), ClickHouse data nodes (4x m7g.xlarge แบ่ง ch_client + ch_ib), Keeper (3x m7g.large), NLB x2, IAM, SG, CloudWatch alarms (module-05-storage.csv)"
module-07-database,prd,ap-southeast-1,kubeflow/prd/terraform/modules/07-database,n/a,"Per-resource breakdown ของ module 07-database — Aurora PostgreSQL 15.17 Serverless V2 (0.5-16 ACU) + parameter group (pg_stat_statements + slow query); ElastiCache Redis 7 (TLS + auth token + KMS) (module-07-database.csv)"
module-10-ses,prd,ap-southeast-1,kubeflow/prd/terraform/modules/10-ses,n/a,"Per-resource breakdown ของ module 10-ses — SES domain identity + DKIM + MAIL FROM + ConfigSet (TLS Require) + SNS alerts (bounce/complaint) + IAM SMTP user + Secrets Manager (smtp host/port/username/password) (module-10-ses.csv)"
