module,layer,used_in_stack,path,description
01-networking,Foundation,prd,kubeflow/prd/terraform/modules/01-networking,"VPC + Subnets (public/private/data) + NAT Gateway (single) + Internet Gateway + Route Tables; expose internal_sg_id ให้ layer อื่นใช้ร่วม"
02-security,Security,prd,kubeflow/prd/terraform/modules/02-security,"KMS key + IAM roles (rds_monitoring, ec2_ssm_profile) + EC2 Key Pair (จาก var.ssh_public_key) — provide kms_key_arn, key_pair_name, ec2_ssm_profile_name ให้ layer อื่น"
03-compute,Compute,prd,kubeflow/prd/terraform/modules/03-compute,"EKS cluster v1.31 (terraform-aws-modules/eks/aws ~> 20.0) + Karpenter + Cilium บน r7g.2xlarge ใน private subnets; provide oidc_provider_arn สำหรับ IRSA"
04-mt5-cluster,Specialized,prd,kubeflow/prd/terraform/modules/04-mt5-cluster,"MT5 Windows Server 2022 cluster บน m5.2xlarge — 2 access servers ใน private subnets ใช้สำหรับ MT5 trading platform (Manager + Web API)"
05-storage,Storage/OLAP,prd,kubeflow/prd/terraform/modules/05-storage,"S3 buckets (archive + observability) + ClickHouse 4-node cluster บน EC2 + Keeper (clickhouse-keeper) + NLB + CloudWatch alarms + IAM roles + SG; รองรับทั้ง trading และ IB analytics"
06-async,Messaging,prd,kubeflow/prd/terraform/modules/06-async,"MSK Kafka cluster (kafka.m5.large × 3 nodes) สำหรับ archive/general workload — encrypted ด้วย KMS key, deploy ใน private subnets"
07-database,Data Tier,prd,kubeflow/prd/terraform/modules/07-database,"RDS Aurora PostgreSQL 15 (cluster parameter group เปิด pg_stat_statements + slow query logging) + ElastiCache Redis — สำหรับ workload หลักก่อน 13-crm-databases จะเข้ามา"
08-observability,Monitoring,prd,kubeflow/prd/terraform/modules/08-observability,"Self-hosted LGTMP stack บน EKS (Loki / Grafana / Tempo / Mimir / Prometheus) + IRSA สำหรับเข้าถึง observability bucket — มี grafana_dashboards/ JSON ที่ stack root"
09-secrets-pki,Security,prd,kubeflow/prd/terraform/modules/09-secrets-pki,"Secrets Manager + PKI (cert-manager IRSA) + IRSA สำหรับ External Secrets Operator — รับ eks_oidc_provider_arn จาก compute"
10-ses,Email,prd,kubeflow/prd/terraform/modules/10-ses,"Amazon SES domain identity + DKIM + Mail-from (Professional Hardened) — KMS-encrypted, configurable ผ่าน var.ses_domain"
11-test-postgres,Data Tier (Test),prd,kubeflow/prd/terraform/modules/11-test-postgres,"Test RDS PostgreSQL 300GB ใน public subnets (port 5432 open ตาม var.test_postgres_allowed_cidrs) สำหรับทดสอบ MT5 trade orders 120M records จาก local"
12-mt5-clone,Specialized (Orphan),none,kubeflow/prd/terraform/modules/12-mt5-clone,"⚠️ ไม่ถูกเรียกใน prd main.tf — clone MT5 instances (TradeServer LN + Backup Report) ที่ eu-west-2; ต้องรัน scripts/clone-mt5-instances.sh เพื่อสร้าง AMI ก่อนจะใช้งาน"
13-crm-databases,Data Tier,prd,kubeflow/prd/terraform/modules/13-crm-databases,"6 Aurora PostgreSQL clusters (Serverless V2 min=0.5/max=4 ACU) — crm-trading-open, crm-trading-closed, crm-trading-complete, crm-financial, crm-central, balance — แทนที่ structure เดิมของ 07-database สำหรับ CRM workload"
