step,phase,trigger,actor,kind,action,source,destination,message_sample,state_today,notes
01,INGEST,external MT5 PG (deal in) CDC,external / debezium,external,publish,external MT5 Postgres,kafka mt5.deal.in.received,messages/mt5.deal.in.received.jsonl,live,deal in (เปิด position) จาก MT5 server — ส่งเข้ามาผ่าน debezium CDC
02,INGEST,kafka mt5.deal.in.received,onetrust-mt5-processor / mt5-deals-in-ingestor,consumer,consume + INSERT,kafka mt5.deal.in.received,crm_trading_open.mt5_deals_in,,live,เก็บ deal in ลงฐานฝั่ง trading open (write-only)
03,PROCESS,debezium CDC on insert crm_trading_open.mt5_deals_in,onetrust-mt5-processor / debezium,debezium,publish,crm_trading_open.mt5_deals_in,kafka mt5-processor.deal.in.created,messages/mt5-processor.deal.in.created.jsonl,live,debezium emit event หลัง insert — มี archiver อย่างเดียวที่ consume ต่อ (step 17)
04,INGEST,external MT5 PG (deal out) CDC,external / debezium,external,publish,external MT5 Postgres,kafka mt5.deal.out.received,messages/mt5.deal.out.received.jsonl,live,deal out (ปิด position) จาก MT5 server — เป็น trigger หลักของ rebate flow
05,INGEST,kafka mt5.deal.out.received,onetrust-mt5-processor / mt5-deals-out-ingestor,consumer,consume + INSERT,kafka mt5.deal.out.received,crm_trading_closed.mt5_deals_out,,live,เก็บ deal out ลงฐานฝั่ง trading closed (write-only)
06,PROCESS,debezium CDC on insert crm_trading_closed.mt5_deals_out,onetrust-mt5-processor / debezium,debezium,publish,crm_trading_closed.mt5_deals_out,kafka mt5-processor.deal.out.created,messages/mt5-processor.deal.out.created.jsonl,live,debezium emit — fan-out 3 consumer (position-detector ที่ step 07 / rebate-calculator ที่ step 09 / deals-out-archived ที่ step 18)
07,PROCESS,kafka mt5-processor.deal.out.created,onetrust-mt5-processor / mt5-position-detector,consumer,consume + match in/out + INSERT,kafka mt5-processor.deal.out.created (+ JOIN crm_trading_open.mt5_deals_in),crm_trading_complete.mt5_position_completes,,live,เฉพาะ position ที่ปิดสมบูรณ์ 100% (volume_closed == volume_open) ถึงจะ INSERT — partial close จะรอ deal out ตัวสุดท้าย
08,PROCESS,debezium CDC on insert crm_trading_complete.mt5_position_completes,onetrust-mt5-processor / debezium,debezium,publish,crm_trading_complete.mt5_position_completes,kafka mt5-processor.position.created,messages/mt5-processor.position.created.jsonl,live,debezium emit สำหรับ position ที่ปิดสมบูรณ์ — มี archiver อย่างเดียวที่ consume ต่อ (step 19)
09,PROCESS,kafka mt5-processor.deal.out.created,onetrust-financial-service / financial-rebate-calculator,consumer,consume + INSERT + publish,kafka mt5-processor.deal.out.created (+ lookup IB tree/scheme),crm_financial.rebate_distributions + kafka financial.rebate.calculated,messages/financial.rebate.calculated.jsonl,live,คำนวณ rebate ทุก IB level ของ deal นั้น แล้ว INSERT distributions + publish event ตรง (ไม่ผ่าน debezium) — fan-out 2 consumer (accrual-builder ที่ step 10 / distribution-archived ที่ step 20)
10,PROCESS,kafka financial.rebate.calculated,onetrust-financial-service / financial-rebate-accrual-builder,consumer,consume + INSERT,kafka financial.rebate.calculated,crm_financial.rebate_accruals (status=PENDING),,live,สะสม rebate ของแต่ละ IB เป็น accrual rows — 1 distribution → 1 accrual (status=PENDING) รอ settlement-scheduler
11,PROCESS,debezium CDC on insert crm_financial.rebate_accruals,onetrust-financial-service / debezium,debezium,publish,crm_financial.rebate_accruals,kafka financial.rebate.accrual.created,messages/financial.rebate.accrual.created.jsonl,live,debezium emit หลัง accrual สร้าง — มี archiver อย่างเดียวที่ consume ต่อ (step 21)
12,PROCESS,interval 2 นาที (sleep หลังทำเสร็จ),onetrust-financial-service / rebate-settlement-scheduler,worker,batch SELECT + INSERT + UPDATE,crm_financial.rebate_accruals (status=PENDING),crm_financial.rebate_settlements + flip accruals → SETTLED,,live,รวบรวม PENDING accruals batch 500 rows ต่อ user/wallet → 1 settlement row + flip accruals เป็น SETTLED ใน transaction เดียว
13,PROCESS,debezium CDC on insert crm_financial.rebate_settlements,onetrust-financial-service / debezium,debezium,publish,crm_financial.rebate_settlements,kafka financial.rebate.settlement.created,messages/financial.rebate.settlement.created.jsonl,live,debezium emit — fan-out 2 consumer (wallet-transaction-writer ที่ step 14 / settlement-archived ที่ step 22)
14,PROCESS,kafka financial.rebate.settlement.created,onetrust-financial-service / financial-wallet-transaction-writer,consumer,consume + INSERT,kafka financial.rebate.settlement.created,crm_financial.wallet_transactions (REBATE_CREDIT),,live,consume settlement → INSERT wallet_transactions (REBATE_CREDIT) ลง crm_financial — idempotent ผ่าน unique index uq_wallet_txn_reference (reference_type=rebate_settlement + reference_id=settlement_id)
15,PROCESS,debezium CDC on insert crm_financial.wallet_transactions,onetrust-financial-service / debezium,debezium,publish,crm_financial.wallet_transactions,kafka financial.wallet.transaction.created,messages/financial.wallet.transaction.created.jsonl,live,debezium emit หลัง wallet transaction สร้าง — fan-out 2 consumer (earning-calculator ที่ step 16 / wallet-transaction-archived ที่ step 23)
16,PROCESS,kafka financial.wallet.transaction.created,onetrust-financial-service / financial-rebate-earning-calculator,consumer,consume + UPDATE,kafka financial.wallet.transaction.created,IB earning aggregate (write-only),,live,update earning stat ของ IB ตาม wallet credit ที่เพิ่มขึ้น — closes loop ของ rebate flow ฝั่ง business
17,ARCHIVE,kafka mt5-processor.deal.in.created,onetrust-archiver / mt5-deals-in-archived,consumer,consume + batch INSERT,kafka mt5-processor.deal.in.created,clickhouse_client.mt5_deals_in,,live,archive deal in ลง ClickHouse client instance — async กับ flow หลัก
18,ARCHIVE,kafka mt5-processor.deal.out.created,onetrust-archiver / mt5-deals-out-archived,consumer,consume + batch INSERT,kafka mt5-processor.deal.out.created,clickhouse_client.mt5_deals_out,,live,archive deal out ลง ClickHouse client instance — async กับ flow หลัก
19,ARCHIVE,kafka mt5-processor.position.created,onetrust-archiver / mt5-position-archived,consumer,consume + batch INSERT,kafka mt5-processor.position.created,clickhouse_client.mt5_position_completes,,live,archive position completes ลง ClickHouse client instance
20,ARCHIVE,kafka financial.rebate.calculated,onetrust-archiver / financial-rebate-distribution-archived,consumer,consume + batch INSERT,kafka financial.rebate.calculated,clickhouse_ib.rebate_distributions,,live,archive rebate distributions ลง ClickHouse ib instance
21,ARCHIVE,kafka financial.rebate.accrual.created,onetrust-archiver / financial-rebate-accrual-archived,consumer,consume + batch INSERT,kafka financial.rebate.accrual.created,clickhouse_ib.rebate_accruals,,live,archive accruals ลง ClickHouse ib instance
22,ARCHIVE,kafka financial.rebate.settlement.created,onetrust-archiver / financial-rebate-settlement-archived,consumer,consume + batch INSERT,kafka financial.rebate.settlement.created,clickhouse_ib.rebate_settlements,,live,archive settlements ลง ClickHouse ib instance
23,ARCHIVE,kafka financial.wallet.transaction.created,onetrust-archiver / financial-wallet-transaction-archived,consumer,consume + batch INSERT,kafka financial.wallet.transaction.created,clickhouse_ib.wallet_transactions,,live,archive wallet transactions ลง ClickHouse ib instance
24,CLEANUP,interval ~15 นาที (sleep หลังทำเสร็จ),onetrust-archiver / rebate-paid-cleanup-watcher,worker,scan archived + publish (multi-key shape),clickhouse_client + clickhouse_ib (verify rows archived) + crm_financial.rebate_settlements (status=COMPLETED),kafka paid.clean,messages/paid.clean.jsonl,scaffold,วันนี้ binary tick 1 นาที log TODO — ต้อง publish paid.clean event 1 ตัวต่อ row โดยใช้ key ที่ตรงกับ table ปลายทาง (deal_id / position_id / settlement_id / wallet_transaction_id)
25,CLEANUP,kafka paid.clean (deal_id),onetrust-archiver / mt5-deals-in-cleaner,consumer,consume + DELETE,kafka paid.clean,crm_trading_open.mt5_deals_in,,live,DELETE row หลัง archive ลง clickhouse_client แล้ว — กรอง message ที่มี deal_id เท่านั้น
26,CLEANUP,kafka paid.clean (deal_id),onetrust-archiver / mt5-deals-out-cleaner,consumer,consume + DELETE,kafka paid.clean,crm_trading_closed.mt5_deals_out,,live,DELETE row หลัง archive ลง clickhouse_client แล้ว — กรอง message ที่มี deal_id เท่านั้น
27,CLEANUP,kafka paid.clean (position_id),onetrust-archiver / mt5-position-cleaner,consumer,consume + DELETE,kafka paid.clean,crm_trading_complete.mt5_position_completes,,live,DELETE row หลัง archive ลง clickhouse_client แล้ว — กรอง message ที่มี position_id เท่านั้น
28,CLEANUP,kafka paid.clean (deal_id),onetrust-archiver / mt5-rebate-distributions-cleaner,consumer,consume + DELETE,kafka paid.clean,crm_financial.rebate_distributions,,live,DELETE row หลัง archive ลง clickhouse_ib แล้ว — กรอง message ที่มี deal_id เท่านั้น
29,CLEANUP,kafka paid.clean (deal_id),onetrust-archiver / financial-rebate-accruals-cleaner,consumer,consume + DELETE,kafka paid.clean,crm_financial.rebate_accruals,,live,DELETE row หลัง archive + status=SETTLED แล้ว — กรอง message ที่มี deal_id เท่านั้น
30,CLEANUP,kafka paid.clean (settlement_id),onetrust-archiver / financial-rebate-settlements-cleaner,consumer,consume + DELETE,kafka paid.clean,crm_financial.rebate_settlements,,live,DELETE row หลัง archive + status=COMPLETED แล้ว — กรอง message ที่มี settlement_id เท่านั้น
31,CLEANUP,kafka paid.clean (wallet_transaction_id),onetrust-archiver / financial-wallet-transactions-cleaner,consumer,consume + DELETE,kafka paid.clean,crm_financial.wallet_transactions,,live,DELETE row หลัง archive ลง clickhouse_ib แล้ว — กรอง message ที่มี wallet_transaction_id เท่านั้น — closes loop ของ pipeline
32,TBD,interval 1 นาที (scaffold),onetrust-archiver / rebate-accrual-scheduler,worker,batch (TBD),TBD,TBD,,scaffold,วันนี้ tick log TODO เฉยๆ — เจตนาตอนเขียน scaffold ไว้ว่าจะ drive rebate accrual batching แต่ flow หลักของเราใช้ event-driven (step 10) ไปแล้ว + อยู่ผิด service (financial logic อยู่ใน archived) — ต้องตัดสินใจว่าจะลบ หรือย้าย scope ใหม่
