topic,publisher_owner,publisher_source,status,description,message_sample
mt5.deal.in.received,external,debezium จาก postgresql ต้นทางจาก MT5 Database server ส่งมาผ่านทาง Kafka,live,stream deal in (เปิด position) จาก MT5 ภายนอกเข้ามาผ่าน debezium CDC,messages/mt5.deal.in.received.jsonl
mt5-processor.deal.in.created,onetrust-mt5-processor,debezium ตอน insert จาก postgresql table mt5_deals_in [db:crm_trading_open],live,debezium อ่าน insert จาก mt5_deals_in หลัง ingestor บันทึกลง crm_trading_open — archiver consume เพื่อ archive,messages/mt5-processor.deal.in.created.jsonl
mt5.deal.out.received,external,debezium จาก postgresql ต้นทางจาก MT5 Database server ส่งมาผ่านทาง Kafka,live,stream deal out (ปิด position) จาก MT5 ภายนอกเข้ามาผ่าน debezium CDC,messages/mt5.deal.out.received.jsonl
mt5-processor.deal.out.created,onetrust-mt5-processor,debezium ตอน insert จาก postgresql table mt5_deals_out [db:crm_trading_closed],live,debezium อ่าน insert จาก mt5_deals_out หลัง ingestor บันทึกลง crm_trading_closed — ใช้กันทั้ง 3 services (mt5-processor / finance / archiver),messages/mt5-processor.deal.out.created.jsonl
mt5-processor.position.created,onetrust-mt5-processor,debezium ตอน insert จาก postgresql mt5_position_completes [db:crm_trading_complete],live,debezium อ่าน insert จาก mt5_position_completes หลัง position-detector บันทึก position ที่ปิด 100% — archiver consume เพื่อ archive,messages/mt5-processor.position.created.jsonl
financial.rebate.calculated,onetrust-financial-service,publish จาก consumer financial-rebate-calculator เมื่อทำการ คำนวน rebate เฉพาะ deal นั้นๆเสร็จแล้ว,live,financial-rebate-calculator publish หลังคำนวณ rebate ของแต่ละ deal เสร็จ — accrual-builder + archiver consume ต่อ,messages/financial.rebate.calculated.jsonl
financial.rebate.accrual.created,onetrust-financial-service,debezium ตอน insert จาก postgresql table rebate_accruals [db:crm_financial],live,debezium อ่าน insert จาก rebate_accruals หลัง accrual-builder บันทึกลง crm_financial — archiver consume เพื่อ archive,messages/financial.rebate.accrual.created.jsonl
financial.rebate.settlement.created,onetrust-financial-service,debezium ตอน insert จาก postgresql table rebate_settlements [db:crm_financial],live,debezium อ่าน insert จาก rebate_settlements ใน crm_financial — archiver consume เพื่อ archive และเป็น trigger ของ wallet-credit downstream pipeline,messages/financial.rebate.settlement.created.jsonl
financial.wallet.transaction.created,onetrust-financial-service,debezium ตอน insert จาก postgresql table wallet_transactions [db:crm_financial],live,debezium อ่าน insert จาก wallet_transactions ใน crm_financial — earning-calculator + archiver consume,messages/financial.wallet.transaction.created.jsonl
paid.clean,onetrust-archived,publish จาก worker rebate-paid-cleanup-watcher ทำงานเป็น Interval เมื่อทำเสร็จจะ Sleep 15 นาที แล้วทำใหม่,live,trigger ให้ 7 cleaner ลบ row ที่ archive ลง ClickHouse แล้ว — worker ทำงานทุก ~15 นาที,messages/paid.clean.jsonl
