database,kind,host,port,database_name,status,table_count,extracted_at,error,is_stale
crm_central,postgres,localhost,5432,crm,ok,67,2026-04-27T06:40:07Z,,False
balance,postgres,localhost,5432,balance,ok,3,2026-04-27T06:40:07Z,,False
crm_trading_open,postgres,localhost,5432,crm_trading_open,ok,2,2026-04-27T06:40:07Z,,False
crm_trading_closed,postgres,localhost,5432,crm_trading_closed,ok,2,2026-04-27T06:40:07Z,,False
crm_trading_complete,postgres,localhost,5432,crm_trading_complete,ok,2,2026-04-27T06:40:07Z,,False
crm_financial,postgres,localhost,5432,crm_financial,ok,13,2026-04-27T06:40:07Z,,False
clickhouse_client,clickhouse,localhost,9001,default,error,0,2026-04-27T06:40:07Z,"HTTP driver received HTTP status 400, server response: Port 9000 is for clickhouse-client program
You must use port 8123 for HTTP. (for url http://localhost:9001)",False
clickhouse_ib,clickhouse,localhost,9002,default,error,0,2026-04-27T06:40:07Z,"HTTP driver received HTTP status 400, server response: Port 9000 is for clickhouse-client program
You must use port 8123 for HTTP. (for url http://localhost:9002)",False
